symbol,file,line,type,prompt,depends_on,selects,implies,default
HISILICON_ERRATUM_161600802,arch/arm64/Kconfig,1276,bool,Hip07 161600802: Erroneous redistributor VLPI base,,,,y
HISILICON_ERRATUM_162100801,arch/arm64/Kconfig,1286,bool,Hip09 162100801 erratum support,,,,y
QCOM_FALKOR_ERRATUM_1003,arch/arm64/Kconfig,1297,bool,Falkor E1003: Incorrect translation due to ASID change,,,,y
QCOM_FALKOR_ERRATUM_1009,arch/arm64/Kconfig,1308,bool,Falkor E1009: Prematurely complete a DSB after a TLBI,,ARM64_WORKAROUND_REPEAT_TLBI,,y
QCOM_QDF2400_ERRATUM_0065,arch/arm64/Kconfig,1319,bool,QDF2400 E0065: Incorrect GITS_TYPER.ITT_Entry_size,,,,y
QCOM_FALKOR_ERRATUM_E1041,arch/arm64/Kconfig,1329,bool,Falkor E1041: Speculative instruction fetches might cause errant memory access,,,,y
NVIDIA_CARMEL_CNP_ERRATUM,arch/arm64/Kconfig,1339,bool,NVIDIA Carmel CNP: CNP on Carmel semantically different than ARM cores,,,,y
ROCKCHIP_ERRATUM_3568002,arch/arm64/Kconfig,1349,bool,Rockchip 3568002: GIC600 can not access physical addresses higher than 4GB,,,,y
ROCKCHIP_ERRATUM_3588001,arch/arm64/Kconfig,1358,bool,Rockchip 3588001: GIC600 can not support shareability attributes,,,,y
SOCIONEXT_SYNQUACER_PREITS,arch/arm64/Kconfig,1368,bool,Socionext Synquacer: Workaround for GICv3 pre-ITS,,,,y ; ARM64_4K_PAGES
ARM64_4K_PAGES,arch/arm64/Kconfig,1385,bool,4KB,,HAVE_PAGE_SIZE_4KB,,
ARM64_16K_PAGES,arch/arm64/Kconfig,1391,bool,16KB,,HAVE_PAGE_SIZE_16KB,,
ARM64_64K_PAGES,arch/arm64/Kconfig,1399,bool,64KB,,HAVE_PAGE_SIZE_64KB,,ARM64_VA_BITS_52
ARM64_VA_BITS_36,arch/arm64/Kconfig,1418,bool,36-bit,PAGE_SIZE_16KB,,,
ARM64_VA_BITS_39,arch/arm64/Kconfig,1422,bool,39-bit,PAGE_SIZE_4KB,,,
ARM64_VA_BITS_42,arch/arm64/Kconfig,1426,bool,42-bit,PAGE_SIZE_64KB,,,
ARM64_VA_BITS_47,arch/arm64/Kconfig,1430,bool,47-bit,PAGE_SIZE_16KB,,,
ARM64_VA_BITS_48,arch/arm64/Kconfig,1434,bool,48-bit,,,,
ARM64_VA_BITS_52,arch/arm64/Kconfig,1437,bool,52-bit,,,,
ARM64_FORCE_52BIT,arch/arm64/Kconfig,1454,bool,Force 52-bit virtual addresses for userspace,ARM64_VA_BITS_52 && EXPERT,,,
ARM64_VA_BITS,arch/arm64/Kconfig,1467,int,,,,,36 if ARM64_VA_BITS_36 ; 39 if ARM64_VA_BITS_39 ; 42 if ARM64_VA_BITS_42 ; 47 if ARM64_VA_BITS_47 ; 48 if ARM64_VA_BITS_48 ; 52 if ARM64_VA_BITS_52 ; ARM64_PA_BITS_48
ARM64_PA_BITS_48,arch/arm64/Kconfig,1483,bool,48-bit,ARM64_64K_PAGES || !ARM64_VA_BITS_52,,,
ARM64_PA_BITS_52,arch/arm64/Kconfig,1487,bool,52-bit,ARM64_64K_PAGES || ARM64_VA_BITS_52,,,
ARM64_PA_BITS,arch/arm64/Kconfig,1500,int,,,,,48 if ARM64_PA_BITS_48 ; 52 if ARM64_PA_BITS_52
ARM64_LPA2,arch/arm64/Kconfig,1505,,,ARM64_PA_BITS_52 && !ARM64_64K_PAGES,,,CPU_LITTLE_ENDIAN
CPU_BIG_ENDIAN,arch/arm64/Kconfig,1517,bool,Build big-endian kernel,BROKEN,,,
CPU_LITTLE_ENDIAN,arch/arm64/Kconfig,1523,bool,Build little-endian kernel,,,,
NR_CPUS,arch/arm64/Kconfig,1531,int,Maximum number of CPUs (2-4096),,,,"""512"""
HOTPLUG_CPU,arch/arm64/Kconfig,1536,bool,Support for hot-pluggable CPUs,,GENERIC_IRQ_MIGRATION,,
NUMA,arch/arm64/Kconfig,1544,bool,NUMA Memory Allocation and Scheduler Support,,GENERIC_ARCH_NUMA ; OF_NUMA ; HAVE_SETUP_PER_CPU_AREA ; NEED_PER_CPU_EMBED_FIRST_CHUNK ; NEED_PER_CPU_PAGE_FIRST_CHUNK ; USE_PERCPU_NUMA_NODE_ID,,
NODES_SHIFT,arch/arm64/Kconfig,1559,int,Maximum NUMA Nodes (as a power of 2),NUMA,,,"""4"""
ARCH_SPARSEMEM_ENABLE,arch/arm64/Kconfig,1570,,,,SPARSEMEM_VMEMMAP_ENABLE,,
HW_PERF_EVENTS,arch/arm64/Kconfig,1574,,,ARM_PMU,,,
CC_HAVE_SHADOW_CALL_STACK,arch/arm64/Kconfig,1579,,,,,,
PARAVIRT,arch/arm64/Kconfig,1582,bool,Enable paravirtualization code,,HAVE_PV_STEAL_CLOCK_GEN,,
PARAVIRT_TIME_ACCOUNTING,arch/arm64/Kconfig,1590,bool,Paravirtual steal time accounting,,PARAVIRT,,
ARCH_SUPPORTS_KEXEC,arch/arm64/Kconfig,1601,,,,,,
ARCH_SUPPORTS_KEXEC_FILE,arch/arm64/Kconfig,1604,,,,,,
ARCH_SELECTS_KEXEC_FILE,arch/arm64/Kconfig,1607,,,KEXEC_FILE,HAVE_IMA_KEXEC if IMA,,
ARCH_SUPPORTS_KEXEC_SIG,arch/arm64/Kconfig,1612,,,,,,
ARCH_SUPPORTS_KEXEC_IMAGE_VERIFY_SIG,arch/arm64/Kconfig,1615,,,,,,
ARCH_DEFAULT_KEXEC_IMAGE_VERIFY_SIG,arch/arm64/Kconfig,1618,,,,,,
ARCH_SUPPORTS_KEXEC_HANDOVER,arch/arm64/Kconfig,1621,,,,,,
ARCH_SUPPORTS_CRASH_DUMP,arch/arm64/Kconfig,1624,,,,,,
ARCH_DEFAULT_CRASH_DUMP,arch/arm64/Kconfig,1627,,,,,,
ARCH_HAS_GENERIC_CRASHKERNEL_RESERVATION,arch/arm64/Kconfig,1630,,,,,,
TRANS_TABLE,arch/arm64/Kconfig,1633,,,HIBERNATION || KEXEC_CORE,,,
XEN_DOM0,arch/arm64/Kconfig,1637,,,XEN,,,
XEN,arch/arm64/Kconfig,1641,bool,Xen guest support on ARM64,ARM64 && OF,SWIOTLB_XEN ; PARAVIRT,,
ARCH_FORCE_MAX_ORDER,arch/arm64/Kconfig,1660,int,,,,,"""13"" if ARM64_64K_PAGES ; ""11"" if ARM64_16K_PAGES ; ""10"""
UNMAP_KERNEL_AT_EL0,arch/arm64/Kconfig,1680,bool,Unmap kernel when running in userspace (KPTI),,,,y
MITIGATE_SPECTRE_BRANCH_HISTORY,arch/arm64/Kconfig,1692,bool,Mitigate Spectre style attacks against branch history,,,,y
ARM64_SW_TTBR0_PAN,arch/arm64/Kconfig,1701,bool,Emulate Privileged Access Never using TTBR0_EL1 switching,!KCSAN,,,
ARM64_TAGGED_ADDR_ABI,arch/arm64/Kconfig,1710,bool,Enable the tagged user addresses syscall ABI,,,,y
COMPAT,arch/arm64/Kconfig,1719,bool,Kernel support for 32-bit EL0,ARM64_4K_PAGES || EXPERT,HAVE_UID16 ; OLD_SIGSUSPEND3 ; COMPAT_OLD_SIGACTION,,
KUSER_HELPERS,arch/arm64/Kconfig,1739,bool,Enable kuser helpers page for 32-bit applications,,,,y
COMPAT_VDSO,arch/arm64/Kconfig,1766,bool,Enable vDSO for 32-bit applications,"!CPU_BIG_ENDIAN && (CC_IS_CLANG && LD_IS_LLD) || ""$(CROSS_COMPILE_COMPAT)"" != """"",,,y
THUMB2_COMPAT_VDSO,arch/arm64/Kconfig,1779,bool,Compile the 32-bit vDSO for Thumb-2 mode,COMPAT_VDSO,,,y
COMPAT_ALIGNMENT_FIXUPS,arch/arm64/Kconfig,1787,bool,Fix up misaligned multi-word loads and stores in user space,,,,
ARMV8_DEPRECATED,arch/arm64/Kconfig,1790,bool,Emulate deprecated/obsolete ARMv8 instructions,SYSCTL,,,
SWP_EMULATION,arch/arm64/Kconfig,1804,bool,Emulate SWP/SWPB instructions,,,,
CP15_BARRIER_EMULATION,arch/arm64/Kconfig,1827,bool,Emulate CP15 Barrier instructions,,,,
SETEND_EMULATION,arch/arm64/Kconfig,1843,bool,Emulate SETEND instruction,,,,
ARM64_HW_AFDBM,arch/arm64/Kconfig,1865,bool,Support for hardware updates of the Access and Dirty page flags,,,,y
ARM64_PMEM,arch/arm64/Kconfig,1886,bool,Enable support for persistent memory,,ARCH_HAS_PMEM_API ; ARCH_HAS_UACCESS_FLUSHCACHE,,
ARM64_RAS_EXTN,arch/arm64/Kconfig,1898,bool,Enable support for RAS CPU Extensions,,,,y
ARM64_CNP,arch/arm64/Kconfig,1914,bool,Enable support for Common Not Private (CNP) translations,,,,y
ARM64_PTR_AUTH,arch/arm64/Kconfig,1931,bool,Enable support for pointer authentication,,,,y
ARM64_PTR_AUTH_KERNEL,arch/arm64/Kconfig,1955,bool,Use pointer authentication for kernel,ARM64_PTR_AUTH && LD_IS_LLD || LD_VERSION >= 23301 || (CC_IS_GCC && GCC_VERSION < 90100) && !CC_IS_CLANG || AS_HAS_CFI_NEGATE_RA_STATE && (!FUNCTION_GRAPH_TRACER || DYNAMIC_FTRACE_WITH_ARGS),,,y
CC_HAS_BRANCH_PROT_PAC_RET,arch/arm64/Kconfig,1975,,,,,,
AS_HAS_CFI_NEGATE_RA_STATE,arch/arm64/Kconfig,1979,,,,,,
ARM64_AMU_EXTN,arch/arm64/Kconfig,1987,bool,Enable support for the Activity Monitors Unit CPU extension,,,,y
ARM64_TLB_RANGE,arch/arm64/Kconfig,2010,bool,Enable support for tlbi range feature,,,,y
ARM64_MPAM,arch/arm64/Kconfig,2017,bool,Enable support for MPAM,,ARM64_MPAM_DRIVER if EXPERT	# does nothing yet ; ACPI_MPAM if ACPI,,
AS_HAS_ARMV8_5,arch/arm64/Kconfig,2046,,,,,,
ARM64_BTI,arch/arm64/Kconfig,2049,bool,Branch Target Identification support,,,,y
ARM64_BTI_KERNEL,arch/arm64/Kconfig,2071,bool,Use Branch Target Identification for kernel,ARM64_BTI && ARM64_PTR_AUTH_KERNEL && CC_HAS_BRANCH_PROT_PAC_RET_BTI && !CC_IS_GCC || GCC_VERSION >= 100100 && !CC_IS_GCC && (!FUNCTION_GRAPH_TRACER || DYNAMIC_FTRACE_WITH_ARGS),,,y
CC_HAS_BRANCH_PROT_PAC_RET_BTI,arch/arm64/Kconfig,2088,,,,,,
ARM64_E0PD,arch/arm64/Kconfig,2092,bool,Enable support for E0PD,,,,y
ARM64_AS_HAS_MTE,arch/arm64/Kconfig,2104,,,,,,
ARM64_MTE,arch/arm64/Kconfig,2112,bool,Memory Tagging Extension support,ARM64_AS_HAS_MTE && ARM64_TAGGED_ADDR_ABI && AS_HAS_ARMV8_5,ARCH_HAS_SUBPAGE_FAULTS ; ARCH_USES_HIGH_VMA_FLAGS ; ARCH_USES_PG_ARCH_2 ; ARCH_USES_PG_ARCH_3,,y
ARM64_EPAN,arch/arm64/Kconfig,2146,bool,Enable support for Enhanced Privileged Access Never (EPAN),,,,y
AS_HAS_MOPS,arch/arm64/Kconfig,2157,,,,,,
ARM64_POE,arch/arm64/Kconfig,2162,,,,ARCH_USES_HIGH_VMA_FLAGS ; ARCH_HAS_PKEYS,,
ARCH_PKEY_BITS,arch/arm64/Kconfig,2177,int,,,,,3
ARM64_HAFT,arch/arm64/Kconfig,2181,bool,Support for Hardware managed Access Flag for Table Descriptors,ARM64_HW_AFDBM,,,y
ARM64_GCS,arch/arm64/Kconfig,2200,bool,Enable support for Guarded Control Stack (GCS),,ARCH_HAS_USER_SHADOW_STACK ; ARCH_USES_HIGH_VMA_FLAGS,,y
ARM64_SVE,arch/arm64/Kconfig,2218,bool,ARM Scalable Vector Extension support,,,,y
ARM64_SME,arch/arm64/Kconfig,2249,bool,ARM Scalable Matrix Extension support,ARM64_SVE,,,y
ARM64_PSEUDO_NMI,arch/arm64/Kconfig,2260,bool,Support for NMI-like interrupts,,ARM_GIC_V3,,
ARM64_DEBUG_PRIORITY_MASKING,arch/arm64/Kconfig,2275,bool,Debug interrupt priority masking,,,,
RELOCATABLE,arch/arm64/Kconfig,2285,bool,Build a relocatable kernel image,,ARCH_HAS_RELR,,y
RANDOMIZE_BASE,arch/arm64/Kconfig,2298,bool,Randomize the address of the kernel image,,RELOCATABLE,,
RANDOMIZE_MODULE_REGION_FULL,arch/arm64/Kconfig,2316,bool,Randomize the module region over a 2 GB range,RANDOMIZE_BASE,,,y
CC_HAVE_STACKPROTECTOR_SYSREG,arch/arm64/Kconfig,2333,,,,,,
STACKPROTECTOR_PER_TASK,arch/arm64/Kconfig,2336,,,STACKPROTECTOR && CC_HAVE_STACKPROTECTOR_SYSREG,,,
UNWIND_PATCH_PAC_INTO_SCS,arch/arm64/Kconfig,2340,bool,Enable shadow call stack dynamically using code patching,CC_IS_CLANG && ARM64_PTR_AUTH_KERNEL && CC_HAS_BRANCH_PROT_PAC_RET && SHADOW_CALL_STACK,UNWIND_TABLES ; DYNAMIC_SCS,,
ARM64_CONTPTE,arch/arm64/Kconfig,2348,bool,Contiguous PTE mappings for user memory,TRANSPARENT_HUGEPAGE,,,y
ARM64_ACPI_PARKING_PROTOCOL,arch/arm64/Kconfig,2361,bool,Enable support for the ARM64 ACPI parking protocol,ACPI,,,
CMDLINE,arch/arm64/Kconfig,2370,string,Default kernel command string,"CMDLINE != """"",,,""""" ; CMDLINE_FROM_BOOTLOADER"
CMDLINE_FROM_BOOTLOADER,arch/arm64/Kconfig,2386,bool,Use bootloader kernel arguments if available,,,,
CMDLINE_FORCE,arch/arm64/Kconfig,2393,bool,Always use the default kernel command string,,,,
EFI_STUB,arch/arm64/Kconfig,2403,bool,,,,,
EFI,arch/arm64/Kconfig,2406,bool,UEFI runtime support,OF && !CPU_BIG_ENDIAN && KERNEL_MODE_NEON,ARCH_SUPPORTS_ACPI ; LIBFDT ; UCS2_STRING ; EFI_PARAMS_FROM_FDT ; EFI_RUNTIME_WRAPPERS ; EFI_STUB ; EFI_GENERIC_STUB,IMA_SECURE_AND_OR_TRUSTED_BOOT,y
COMPRESSED_INSTALL,arch/arm64/Kconfig,2426,bool,Install compressed image by default,,,,
DMI,arch/arm64/Kconfig,2437,bool,Enable support for SMBIOS (DMI) tables,EFI,,,y
ARCH_HIBERNATION_POSSIBLE,arch/arm64/Kconfig,2454,,,CPU_PM,,,
ARCH_HIBERNATION_HEADER,arch/arm64/Kconfig,2458,,,HIBERNATION,,,
ARCH_SUSPEND_POSSIBLE,arch/arm64/Kconfig,2462,,,,,,
PID_IN_CONTEXTIDR,arch/arm64/Kconfig.debug,3,bool,Write the current PID to the CONTEXTIDR register,,,,
DEBUG_EFI,arch/arm64/Kconfig.debug,11,bool,UEFI debugging,EFI && DEBUG_INFO,,,
ARM64_RELOC_TEST,arch/arm64/Kconfig.debug,19,tristate,Relocation testing module,m,,,
ARCH_ACTIONS,arch/arm64/Kconfig.platforms,4,bool,Actions Semi Platforms,,OWL_TIMER ; PINCTRL,,
ARCH_AIROHA,arch/arm64/Kconfig.platforms,11,bool,Airoha SoC Support,,ARM_PSCI ; HAVE_ARM_ARCH_TIMER,,
ARCH_SUNXI,arch/arm64/Kconfig.platforms,18,bool,Allwinner sunxi 64-bit SoC Family,,ARCH_HAS_RESET_CONTROLLER ; PINCTRL ; RESET_CONTROLLER ; SUN4I_TIMER ; SUN6I_R_INTC ; SUNXI_NMI_INTC,,
ARCH_ALPINE,arch/arm64/Kconfig.platforms,29,bool,Annapurna Labs Alpine platform,,ALPINE_MSI if PCI,,
ARCH_APPLE,arch/arm64/Kconfig.platforms,36,bool,Apple Silicon SoC family,,APPLE_AIC ; APPLE_PMGR_PWRSTATE if PM,,
ARCH_ARTPEC,arch/arm64/Kconfig.platforms,44,bool,Axis Communications ARTPEC SoC Family,ARCH_EXYNOS,ARM_GIC,,
ARCH_AXIADO,arch/arm64/Kconfig.platforms,51,bool,Axiado SoC Family,,GPIOLIB,,
ARCH_BCM,arch/arm64/Kconfig.platforms,57,bool,Broadcom SoC Support,,,,
ARCH_BCM2835,arch/arm64/Kconfig.platforms,62,bool,Broadcom BCM2835 family,,TIMER_OF ; GPIOLIB ; MFD_CORE ; PINCTRL ; PINCTRL_BCM2835 ; ARM_AMBA ; ARM_GIC ; ARM_TIMER_SP804,,
ARCH_BCM_IPROC,arch/arm64/Kconfig.platforms,76,bool,Broadcom iProc SoC Family,,COMMON_CLK_IPROC ; GPIOLIB ; PINCTRL,,
ARCH_BCMBCA,arch/arm64/Kconfig.platforms,84,bool,Broadcom Broadband Carrier Access (BCA) origin SoC,,GPIOLIB,,
ARCH_BRCMSTB,arch/arm64/Kconfig.platforms,94,bool,Broadcom Set-Top-Box SoCs,,ARCH_HAS_RESET_CONTROLLER ; GENERIC_IRQ_CHIP ; PINCTRL,,
ARCH_BERLIN,arch/arm64/Kconfig.platforms,104,bool,Marvell Berlin SoC Family,,DW_APB_ICTL ; DW_APB_TIMER_OF ; GPIOLIB ; PINCTRL,,
ARCH_BITMAIN,arch/arm64/Kconfig.platforms,113,bool,Bitmain SoC Platforms,,,,
ARCH_BLAIZE,arch/arm64/Kconfig.platforms,118,bool,Blaize SoC Platforms,,,,
ARCH_BST,arch/arm64/Kconfig.platforms,123,bool,Black Sesame Technologies SoC Family,,,,
ARCH_CIX,arch/arm64/Kconfig.platforms,131,bool,Cixtech SoC family,,,,
ARCH_EXYNOS,arch/arm64/Kconfig.platforms,137,bool,Samsung Exynos SoC family,,COMMON_CLK_SAMSUNG ; CLKSRC_EXYNOS_MCT ; EXYNOS_PM_DOMAINS if PM_GENERIC_DOMAINS ; EXYNOS_PMU ; PINCTRL ; PINCTRL_EXYNOS ; PM_GENERIC_DOMAINS if PM ; SOC_SAMSUNG,,
ARCH_K3,arch/arm64/Kconfig.platforms,150,bool,Texas Instruments Inc. K3 multicore SoC architecture,,SOC_TI ; TI_K3_SOCINFO,,
ARCH_LG1K,arch/arm64/Kconfig.platforms,158,bool,LG Electronics LG1K SoC Family,,,,
ARCH_HISI,arch/arm64/Kconfig.platforms,163,bool,Hisilicon SoC Family,,ARM_TIMER_SP804 ; HISILICON_IRQ_MBIGEN if PCI ; PINCTRL,,
ARCH_KEEMBAY,arch/arm64/Kconfig.platforms,171,bool,Keem Bay SoC,,,,
ARCH_MEDIATEK,arch/arm64/Kconfig.platforms,176,bool,MediaTek SoC Family,,ARM_GIC ; PINCTRL ; MTK_TIMER,,
ARCH_MESON,arch/arm64/Kconfig.platforms,185,bool,Amlogic Platforms,,,,
ARCH_MICROCHIP,arch/arm64/Kconfig.platforms,193,bool,,,,,
ARCH_LAN969X,arch/arm64/Kconfig.platforms,196,bool,Microchip LAN969X SoC family,,PINCTRL ; DW_APB_TIMER_OF ; ARCH_MICROCHIP,,
ARCH_SPARX5,arch/arm64/Kconfig.platforms,211,bool,Microchip Sparx5 SoC family,,PINCTRL ; DW_APB_TIMER_OF ; ARCH_MICROCHIP,,
ARCH_MMP,arch/arm64/Kconfig.platforms,228,bool,Marvell MMP SoC Family,,PINCTRL ; PINCTRL_SINGLE,,
ARCH_MVEBU,arch/arm64/Kconfig.platforms,236,bool,Marvell EBU SoC Family,,ARMADA_AP806_SYSCON ; ARMADA_CP110_SYSCON ; ARMADA_37XX_CLK ; GPIOLIB ; GPIOLIB_IRQCHIP ; MVEBU_GICP ; MVEBU_ICU ; MVEBU_ODMI ; MVEBU_PIC ; MVEBU_SEI ; OF_GPIO ; PINCTRL ; PINCTRL_ARMADA_37XX ; PINCTRL_ARMADA_AP806 ; PINCTRL_ARMADA_CP110 ; PINCTRL_AC5,,
ARCH_NXP,arch/arm64/Kconfig.platforms,261,bool,NXP SoC support,,,,
ARCH_LAYERSCAPE,arch/arm64/Kconfig.platforms,266,bool,Freescale Layerscape SoC family,,,,
ARCH_MXC,arch/arm64/Kconfig.platforms,271,bool,NXP i.MX SoC family,,ARM64_ERRATUM_843419 ; ARM64_ERRATUM_845719 if COMPAT ; IMX_GPCV2 ; IMX_GPCV2_PM_DOMAINS ; PM ; PM_GENERIC_DOMAINS ; SOC_BUS ; TIMER_IMX_SYS_CTR,,
ARCH_S32,arch/arm64/Kconfig.platforms,285,bool,NXP S32 SoC Family,,,,
ARCH_MA35,arch/arm64/Kconfig.platforms,292,bool,Nuvoton MA35 Architecture,,GPIOLIB ; PINCTRL ; RESET_CONTROLLER,,
ARCH_NPCM,arch/arm64/Kconfig.platforms,300,bool,Nuvoton NPCM Architecture,,PINCTRL ; GPIOLIB ; NPCM7XX_TIMER ; RESET_CONTROLLER ; MFD_SYSCON,,
ARCH_PENSANDO,arch/arm64/Kconfig.platforms,311,bool,AMD Pensando Platforms,,,,
ARCH_QCOM,arch/arm64/Kconfig.platforms,323,bool,Qualcomm Platforms,,GPIOLIB ; PINCTRL ; HAVE_PWRCTRL if PCI ; HAVE_SHARED_GPIOS,,
ARCH_REALTEK,arch/arm64/Kconfig.platforms,332,bool,Realtek Platforms,,RESET_CONTROLLER,,
ARCH_RENESAS,arch/arm64/Kconfig.platforms,339,bool,Renesas SoC Platforms,,,,
ARCH_ROCKCHIP,arch/arm64/Kconfig.platforms,344,bool,Rockchip Platforms,,ARCH_HAS_RESET_CONTROLLER ; PINCTRL ; PM ; ROCKCHIP_TIMER,,
ARCH_SEATTLE,arch/arm64/Kconfig.platforms,354,bool,AMD Seattle SoC Family,,,,
ARCH_INTEL_SOCFPGA,arch/arm64/Kconfig.platforms,359,bool,Intel's SoCFPGA ARMv8 Families,,,,
ARCH_SOPHGO,arch/arm64/Kconfig.platforms,366,bool,Sophgo SoCs,,ARCH_HAS_RESET_CONTROLLER,,
ARCH_STM32,arch/arm64/Kconfig.platforms,372,bool,STMicroelectronics STM32 SoC Family,,GPIOLIB ; PINCTRL ; ARM_SCMI_PROTOCOL ; REGULATOR ; REGULATOR_ARM_SCMI ; COMMON_CLK_SCMI ; STM32_FIREWALL,,
ARCH_SYNQUACER,arch/arm64/Kconfig.platforms,391,bool,Socionext SynQuacer SoC Family,,IRQ_FASTEOI_HIERARCHY_HANDLERS,,
ARCH_TEGRA,arch/arm64/Kconfig.platforms,395,bool,NVIDIA Tegra SoC Family,,ARCH_HAS_RESET_CONTROLLER ; ARM_GIC_PM ; CLKSRC_MMIO ; TIMER_OF ; GPIOLIB ; PINCTRL ; PM ; PM_GENERIC_DOMAINS ; RESET_CONTROLLER,,
ARCH_TESLA_FSD,arch/arm64/Kconfig.platforms,409,bool,Tesla platform,ARCH_EXYNOS,,,
ARCH_SPRD,arch/arm64/Kconfig.platforms,415,bool,Spreadtrum SoC platform,,,,
ARCH_THUNDER,arch/arm64/Kconfig.platforms,420,bool,Cavium Inc. Thunder SoC Family,,,,
ARCH_THUNDER2,arch/arm64/Kconfig.platforms,425,bool,Cavium ThunderX2 Server Processors,,GPIOLIB,,
ARCH_UNIPHIER,arch/arm64/Kconfig.platforms,432,bool,Socionext UniPhier SoC Family,,ARCH_HAS_RESET_CONTROLLER ; PINCTRL ; RESET_CONTROLLER,,
ARCH_VEXPRESS,arch/arm64/Kconfig.platforms,440,bool,ARM Ltd Platforms,,GPIOLIB ; PM ; PM_GENERIC_DOMAINS,,
ARCH_VISCONTI,arch/arm64/Kconfig.platforms,448,bool,Toshiba Visconti SoC Family,,PINCTRL ; PINCTRL_VISCONTI,,
ARCH_XGENE,arch/arm64/Kconfig.platforms,455,bool,AppliedMicro X-Gene SOC Family,,,,
ARCH_ZYNQMP,arch/arm64/Kconfig.platforms,460,bool,Xilinx ZynqMP Family,,,,
CRYPTO_GHASH_ARM64_CE,arch/arm64/crypto/Kconfig,5,tristate,Hash functions: GHASH (ARMv8 Crypto Extensions),KERNEL_MODE_NEON,CRYPTO_HASH ; CRYPTO_LIB_AES ; CRYPTO_LIB_GF128MUL ; CRYPTO_AEAD,,
CRYPTO_SM3_NEON,arch/arm64/crypto/Kconfig,18,tristate,Hash functions: SM3 (NEON),KERNEL_MODE_NEON,CRYPTO_HASH ; CRYPTO_LIB_SM3,,
CRYPTO_SM3_ARM64_CE,arch/arm64/crypto/Kconfig,29,tristate,Hash functions: SM3 (ARMv8.2 Crypto Extensions),KERNEL_MODE_NEON,CRYPTO_HASH ; CRYPTO_LIB_SM3,,
CRYPTO_AES_ARM64_CE_BLK,arch/arm64/crypto/Kconfig,40,tristate,"Ciphers: AES, modes: ECB/CBC/CTR/XTS (ARMv8 Crypto Extensions)",KERNEL_MODE_NEON,CRYPTO_SKCIPHER ; CRYPTO_LIB_AES ; CRYPTO_LIB_SHA256,,
CRYPTO_AES_ARM64_NEON_BLK,arch/arm64/crypto/Kconfig,58,tristate,"Ciphers: AES, modes: ECB/CBC/CTR/XTS (NEON)",KERNEL_MODE_NEON,CRYPTO_SKCIPHER ; CRYPTO_LIB_AES ; CRYPTO_LIB_SHA256,,
CRYPTO_AES_ARM64_BS,arch/arm64/crypto/Kconfig,76,tristate,"Ciphers: AES, modes: ECB/CBC/CTR/XCTR/XTS modes (bit-sliced NEON)",KERNEL_MODE_NEON,CRYPTO_SKCIPHER ; CRYPTO_AES_ARM64_NEON_BLK ; CRYPTO_LIB_AES,,
CRYPTO_SM4_ARM64_CE,arch/arm64/crypto/Kconfig,96,tristate,Ciphers: SM4 (ARMv8.2 Crypto Extensions),KERNEL_MODE_NEON,CRYPTO_ALGAPI ; CRYPTO_SM4,,
CRYPTO_SM4_ARM64_CE_BLK,arch/arm64/crypto/Kconfig,108,tristate,"Ciphers: SM4, modes: ECB/CBC/CTR/XTS (ARMv8 Crypto Extensions)",KERNEL_MODE_NEON,CRYPTO_SKCIPHER ; CRYPTO_SM4,,
CRYPTO_SM4_ARM64_NEON_BLK,arch/arm64/crypto/Kconfig,126,tristate,"Ciphers: SM4, modes: ECB/CBC/CTR (NEON)",KERNEL_MODE_NEON,CRYPTO_SKCIPHER ; CRYPTO_SM4,,
CRYPTO_AES_ARM64_CE_CCM,arch/arm64/crypto/Kconfig,141,tristate,AEAD cipher: AES in CCM mode (ARMv8 Crypto Extensions),KERNEL_MODE_NEON,CRYPTO_ALGAPI ; CRYPTO_AES_ARM64_CE_BLK ; CRYPTO_AEAD ; CRYPTO_LIB_AES,,
CRYPTO_SM4_ARM64_CE_CCM,arch/arm64/crypto/Kconfig,157,tristate,AEAD cipher: SM4 in CCM mode (ARMv8 Crypto Extensions),KERNEL_MODE_NEON,CRYPTO_ALGAPI ; CRYPTO_AEAD ; CRYPTO_SM4 ; CRYPTO_SM4_ARM64_CE_BLK,,
CRYPTO_SM4_ARM64_CE_GCM,arch/arm64/crypto/Kconfig,173,tristate,AEAD cipher: SM4 in GCM mode (ARMv8 Crypto Extensions),KERNEL_MODE_NEON,CRYPTO_ALGAPI ; CRYPTO_AEAD ; CRYPTO_SM4 ; CRYPTO_SM4_ARM64_CE_BLK,,
VIRTUALIZATION,arch/arm64/kvm/Kconfig,8,bool,Virtualization,,,,
